SECCION,x,y,pan,morena,pri,estrato,dif,ln,estratogeo,estratoele,estratodif,estrato_final,estrato_nombre
1636,-93.12798131479269,16.77080610670475,0.26878745965882894,0.2595666205624712,0.06685108344859382,centro poniente norte,-0.009220839096357736,2169,3,3,3,6,Centro poniente
1645,-93.15119412240689,16.763935484928222,0.35446859903381644,0.2113526570048309,0.06823671497584541,periferia poniente norte,-0.14311594202898553,1656,4,3,3,6,Centro poniente
1646,-93.1324032904996,16.762917065602434,0.4468980021030494,0.15720294426919032,0.05783385909568875,centro poniente norte,-0.28969505783385907,1902,3,3,3,6,Centro poniente
1647,-93.1282603800719,16.76613505014311,0.30437044745057235,0.24661810613943808,0.05567117585848075,centro poniente norte,-0.05775234131113427,1922,3,3,3,6,Centro poniente
1648,-93.1263945912495,16.76341070607899,0.3507779349363508,0.17256011315417255,0.0594059405940594,centro poniente norte,-0.17821782178217824,1414,3,3,3,6,Centro poniente
1649,-93.12293383919679,16.76462905349849,0.3635831381733021,0.15105386416861827,0.06088992974238876,centro poniente norte,-0.21252927400468385,1708,3,3,3,6,Centro poniente
1650,-93.11997816675513,16.766980438922662,0.21402877697841727,0.2221223021582734,0.06384892086330936,centro poniente norte,0.00809352517985612,1112,3,3,3,6,Centro poniente
1651,-93.117803093072,16.76477353283156,0.22683544303797468,0.23088607594936708,0.06683544303797469,centro poniente norte,0.0040506329113924044,1975,3,3,3,6,Centro poniente
1654,-93.10533732607391,16.760944296720808,0.3518237082066869,0.21580547112462006,0.06003039513677812,centro oriente norte,-0.13601823708206684,1316,3,3,3,3,Centro oriente
1658,-93.08405147152752,16.757211476877668,0.31362007168458783,0.1989247311827957,0.055256869772998804,centro oriente sur,-0.11469534050179214,3348,7,3,3,3,Centro oriente
1659,-93.0788196395629,16.74868928485011,0.2814814814814815,0.3662962962962963,0.0674074074074074,periferia oriente norte,0.08481481481481479,2700,8,1,1,1,Periferia sur oriente
1660,-93.07495922264093,16.756280522849956,0.12425816023738873,0.29673590504451036,0.055637982195845696,periferia oriente norte,0.17247774480712164,2696,8,3,1,1,Periferia sur oriente
1661,-93.07082677283464,16.75635555328951,0.11418575063613232,0.2973918575063613,0.06615776081424936,periferia oriente norte,0.183206106870229,3144,8,3,1,1,Periferia sur oriente
1662,-93.09254164730048,16.753873510327775,0.3494408945686901,0.2152555910543131,0.05351437699680511,centro oriente sur,-0.134185303514377,2504,7,3,3,3,Centro oriente
1663,-93.09704910229333,16.757872811436123,0.32938316621087815,0.23305986022485567,0.053479185657854755,centro oriente sur,-0.09632330598602248,3291,7,3,3,3,Centro oriente
1669,-93.1179095031868,16.761406989540205,0.3350035790980673,0.24910522548317823,0.05583392984967788,centro poniente norte,-0.08589835361488904,1397,3,3,3,6,Centro poniente
1671,-93.12227354419038,16.761063803288277,0.24862888482632542,0.2979890310786106,0.09140767824497258,centro poniente norte,0.04936014625228516,1094,3,3,3,6,Centro poniente
1726,-93.11813129899366,16.742087713933472,0.2408026755852843,0.2831661092530658,0.061872909698996656,centro oriente sur,0.0423634336677815,1794,8,1,1,1,Periferia sur oriente
1722,-93.11562286802234,16.743627147088663,0.28760162601626016,0.3119918699186992,0.08638211382113821,centro oriente sur,0.024390243902439046,984,8,1,1,1,Periferia sur oriente
1732,-93.1165044736967,16.732711664803734,0.19427890345649582,0.3098927294398093,0.058402860548271755,periferia oriente sur,0.11561382598331346,2517,8,1,1,1,Periferia sur oriente
1733,-93.1184815805175,16.738338392612064,0.23709677419354838,0.289247311827957,0.057526881720430106,centro oriente sur,0.052150537634408606,1860,8,1,1,1,Periferia sur oriente
1734,-93.12686796462583,16.73954515431772,0.2247329498767461,0.3011503697617091,0.06737880032867707,periferia poniente sur,0.076417419884963,2434,8,1,1,1,Periferia sur oriente
1740,-93.11995708974665,16.730944541584353,0.2521763549564729,0.2662173546756529,0.062342038753159225,periferia oriente sur,0.014040999719179992,3561,8,1,1,1,Periferia sur oriente
1751,-93.08392826167139,16.738645638897626,0.20056497175141244,0.1626311541565779,0.050443906376109765,periferia oriente sur,-0.03793381759483455,2478,8,4,1,1,Periferia sur oriente
1750,-93.08213025880858,16.77049361251027,0.23823773898586867,0.2801330008312552,0.05918536990856193,periferia oriente norte,0.04189526184538653,6015,7,3,5,5,Periferia norte
1716,-93.09414023024517,16.742167085231447,0.19204545454545455,0.26136363636363635,0.05738636363636364,centro oriente sur,0.0693181818181818,1760,8,1,1,1,Periferia sur oriente
1683,-93.09834998786981,16.74855114504478,0.27408737283064033,0.23159784560143626,0.06403351286654697,centro oriente sur,-0.04248952722920407,1671,8,3,3,3,Centro oriente
1754,-93.08993532391952,16.77345368553006,0.08365310821181889,0.1496546431312356,0.1128165771297007,periferia oriente norte,0.06600153491941672,1303,7,3,5,5,Periferia norte
1656,-93.09228230502407,16.765483372790346,0.3130016051364366,0.29052969502407705,0.04975922953451043,centro oriente norte,-0.02247191011235955,1246,7,3,3,3,Centro oriente
1731,-93.10726091961813,16.729259332548988,0.23911211014329867,0.288002247822422,0.07221129530767069,periferia oriente sur,0.04889013767912334,3559,8,1,1,1,Periferia sur oriente
1630,-93.1048359200829,16.772733106053973,0.25038245792962777,0.2565017848036716,0.05966343702192759,centro oriente norte,0.006119326874043818,1961,3,3,5,5,Periferia norte
